replication,app_utilization,app_avg_queue_length,app_avg_response_time,app_throughput,db_utilization,db_avg_queue_length,db_avg_response_time,db_throughput,system_avg_end_to_end_time,system_throughput,total_requests,completed_requests,cache_hit_rate,cache_hits,cache_misses,cache_server_utilization,cache_server_avg_response_time
0,0.17069900175653652,0.0428423179627766,0.020703069142746017,10.033333333333333,0.26355471609753217,0.09067475643102771,0.05213362602586,6.75,0.0568168335492901,10.033333333333333,602,602,0.3272425249169435,197,405,0.010298648522902132,0.003179531128254626
1,0.16929209492837421,0.03264055502006554,0.020147788395574677,10.2,0.23374007733756677,0.0771250427310634,0.04072785030294359,7.4,0.050547523002540264,10.2,612,612,0.27450980392156865,168,444,0.008600992317583878,0.003104000267594815
2,0.16910004172826876,0.042982931118670104,0.020513882345056467,10.3,0.22981939414017827,0.0874555328436067,0.04255338719970363,7.333333333333333,0.051760826855467894,10.3,618,618,0.28802588996763756,178,440,0.009699838001654191,0.0032984344919361956
3,0.15936566056578125,0.021063460604662396,0.01850526163761738,9.75,0.22612719049105165,0.07380481763590391,0.046359541499638085,6.566666666666666,0.05084773750956436,9.75,585,585,0.3264957264957265,191,394,0.010789024597393667,0.0034276912786992027
4,0.16189579545850233,0.030382193657986067,0.02001481406801531,9.65,0.24629223612303427,0.09060911364786077,0.04896614612643724,6.7,0.055025672644132606,9.633333333333333,579,578,0.30397236614853196,176,403,0.0093933309979375,0.0032161358574114545
5,0.14720888824513884,0.02098403200280719,0.017364286287794996,9.616666666666667,0.22578417566886827,0.05348395613432065,0.042069689428521156,6.583333333333333,0.04706366220383006,9.616666666666667,577,577,0.31542461005199307,182,395,0.008606888789535284,0.0028517174686069876
6,0.17874328132344602,0.04583187893387816,0.022265489125134635,10.216666666666667,0.2404999328912482,0.1012327838587054,0.04541611968957178,7.383333333333334,0.05594497142929069,10.216666666666667,613,613,0.27732463295269166,170,443,0.00868223114475873,0.0030951860586314996
7,0.16200003439258,0.03074655898900929,0.01902316211252608,10.133333333333333,0.21781029175502295,0.05877337351091942,0.03916008668001065,6.733333333333333,0.046211093416089,10.116666666666667,610,607,0.3355263157894737,204,404,0.011324483160534334,0.0034534768143080637
8,0.17980787853687596,0.03428242544761175,0.020422629128408455,10.533333333333333,0.23440701654303517,0.06975141975244048,0.03933820108946913,7.483333333333333,0.04941788271303511,10.5,632,630,0.28639240506329117,181,451,0.010115739064383842,0.0033849293351383997
9,0.1686275063944361,0.030557538861481565,0.019080605456556834,10.6,0.2654600040514888,0.08491919468433617,0.04507343994059259,7.6,0.05225043375434641,10.6,636,636,0.2830188679245283,180,456,0.008970607898622212,0.0030140121360210516
